date,price
2024-01-01,42280.0
2024-01-02,44980.0
2024-01-03,42850.0
2024-01-04,44180.0
2024-01-05,44150.0
2024-01-06,43980.0
2024-01-07,43920.0
2024-01-08,46950.0
2024-01-09,46120.0
2024-01-10,46630.0
2024-01-11,46380.0
2024-01-12,42840.0
2024-01-13,42890.0
2024-01-14,41790.0
2024-01-15,42510.0
2024-01-16,43150.0
2024-01-17,42750.0
2024-01-18,41290.0
2024-01-19,41610.0
2024-01-20,41660.0
2024-01-21,41550.0
2024-01-22,39520.0
2024-01-23,39850.0
2024-01-24,40080.0
2024-01-25,39930.0
2024-01-26,41810.0
2024-01-27,42120.0
2024-01-28,42030.0
2024-01-29,43300.0
2024-01-30,42950.0
2024-01-31,42580.0
2024-02-01,43080.0
2024-02-02,43180.0
2024-02-03,42980.0
2024-02-04,42580.0
2024-02-05,42690.0
2024-02-06,43110.0
2024-02-07,44340.0
2024-02-08,45350.0
2024-02-09,47150.0
2024-02-10,47750.0
2024-02-11,48300.0
2024-02-12,50000.0
2024-02-13,49720.0
2024-02-14,51830.0
2024-02-15,51900.0
2024-02-16,52150.0
2024-02-17,51680.0
2024-02-18,52120.0
2024-02-19,51800.0
2024-02-20,52280.0
2024-02-21,51820.0
2024-02-22,51300.0
2024-02-23,50730.0
2024-02-24,51570.0
2024-02-25,51730.0
2024-02-26,54520.0
2024-02-27,57080.0
2024-02-28,62500.0
2024-02-29,61190.0
